venue,submission_id,review_id,status,clarity,confidence,contribution,correctness,details_of_ethics_concerns,empirical_novelty_and_significance,ethical_concerns,final_justification,limitations_and_societal_impact,originality,other_comments_or_suggestions,overall_recommendation,presentation,quality,questions,questions_for_authors,rating,recommendation,reviewer_scores,significance,soundness,strengths,technical_novelty_and_significance,time_spent_reviewing,weaknesses
ICLR2022,zzk231Ms1Ih,TvyIJI1TlM-,accept,,4.0,,3.0,,2.0,,,,,,,,,,,,5.0,,,,,3.0,,
ICLR2022,zzk231Ms1Ih,mvJh08SL8ke,accept,,3.0,,4.0,,,,,,,,,,,,,,5.0,,,,,2.0,,
ICLR2022,zzk231Ms1Ih,C9NhLV0gKlP,accept,,3.0,,3.0,,,,,,,,,,,,,,6.0,,,,,3.0,,
ICLR2022,zzk231Ms1Ih,pUE59TP-ax,accept,,4.0,,4.0,,1.0,,,,,,,,,,,,8.0,,,,,3.0,,
ICLR2022,zz9hXVhf40,KkJogqpzEwc,accept,,4.0,,4.0,,3.0,,,,,,,,,,,,8.0,,,,,3.0,,
ICLR2022,zz9hXVhf40,yfOp35kKfgD,accept,,4.0,,4.0,,3.0,,,,,,,,,,,,6.0,,,,,2.0,,
ICLR2022,zz9hXVhf40,L1E57BlqSOY,accept,,3.0,,4.0,,3.0,,,,,,,,,,,,8.0,,,,,2.0,,
ICLR2022,zz9hXVhf40,pCMrUs15dnj,accept,,4.0,,2.0,,3.0,,,,,,,,,,,,6.0,,,,,2.0,,
ICLR2022,zz9hXVhf40,7QJWP1izpM4,accept,,4.0,,3.0,,3.0,,,,,,,,,,,,6.0,,,,,3.0,,
ICLR2022,zyrhwrd9EYs,-aEdXoBehI4,accept,,5.0,,2.0,,2.0,,,,,,,,,,,,5.0,,,,,3.0,,
ICLR2022,zyrhwrd9EYs,Sw15Q7x-eNY,accept,,4.0,,1.0,,1.0,,,,,,,,,,,,3.0,,,,,1.0,,
ICLR2022,zyrhwrd9EYs,vop8d7q0nC4,accept,,3.0,,3.0,,2.0,,,,,,,,,,,,3.0,,,,,2.0,,
ICLR2022,zxEfpcmTDnF,zuD4vNVLIxz,accept,,4.0,,4.0,,2.0,,,,,,,,,,,,6.0,,,,,3.0,,
ICLR2022,zxEfpcmTDnF,z-B1OnWOtp_,accept,,4.0,,4.0,,2.0,,,,,,,,,,,,5.0,,,,,2.0,,
ICLR2022,zxEfpcmTDnF,56VxUr-PO5h,accept,,4.0,,4.0,,2.0,,,,,,,,,,,,5.0,,,,,2.0,,
ICLR2022,zxEfpcmTDnF,DmvCsvKK-C0,accept,,4.0,,3.0,,3.0,,,,,,,,,,,,6.0,,,,,3.0,,
ICLR2022,zuqcmNVK4c2,4l7GAqeKj4I,accept,,4.0,,4.0,,4.0,,,,,,,,,,,,8.0,,,,,2.0,,
ICLR2022,zuqcmNVK4c2,bgq04xhGww,accept,,3.0,,3.0,,3.0,,,,,,,,,,,,5.0,,,,,2.0,,
ICLR2022,zuqcmNVK4c2,79tJyc2F8Dg,accept,,5.0,,4.0,,4.0,,,,,,,,,,,,8.0,,,,,4.0,,
ICLR2022,zuDmDfeoB_1,RQljuCcy-hp,accept,,3.0,,3.0,,2.0,,,,,,,,,,,,5.0,,,,,2.0,,
ICLR2022,zuDmDfeoB_1,XV8T-2YJQ4O,accept,,3.0,,4.0,,2.0,,,,,,,,,,,,6.0,,,,,3.0,,
ICLR2022,zuDmDfeoB_1,nOMar2XTAK-,accept,,3.0,,4.0,,3.0,,,,,,,,,,,,5.0,,,,,3.0,,
ICLR2022,zuDmDfeoB_1,ofPS6AiV_fA,accept,,4.0,,3.0,,2.0,,,,,,,,,,,,5.0,,,,,2.0,,
ICLR2022,zrdUVVAvcP2,UJH91RO9uJl,accept,,3.0,,3.0,,3.0,,,,,,,,,,,,8.0,,,,,3.0,,
ICLR2022,zrdUVVAvcP2,76m8u7dGlSC,accept,,4.0,,3.0,,2.0,,,,,,,,,,,,5.0,,,,,2.0,,
ICLR2022,zrdUVVAvcP2,FCEjZlR6Vs7,accept,,2.0,,3.0,,2.0,,,,,,,,,,,,5.0,,,,,3.0,,
ICLR2022,zrdUVVAvcP2,Nd4K1G4XxCn,accept,,3.0,,3.0,,3.0,,,,,,,,,,,,6.0,,,,,3.0,,
ICLR2022,zrW-LVXj2k1,aCkK65KHdrt,accept,,2.0,,3.0,,3.0,,,,,,,,,,,,5.0,,,,,2.0,,
ICLR2022,zrW-LVXj2k1,mWSbEDbEHf,accept,,3.0,,3.0,,4.0,,,,,,,,,,,,5.0,,,,,3.0,,
ICLR2022,zrW-LVXj2k1,SZL-7j70hED,accept,,3.0,,3.0,,3.0,,,,,,,,,,,,8.0,,,,,3.0,,
ICLR2022,zq1iJkNk3uN,NfwmpnGvw_s,accept,,5.0,,4.0,,3.0,,,,,,,,,,,,6.0,,,,,2.0,,
ICLR2022,zq1iJkNk3uN,AZrxIVnuhYG,accept,,3.0,,3.0,,3.0,,,,,,,,,,,,6.0,,,,,3.0,,
ICLR2022,zq1iJkNk3uN,C7eEUbcCVI,accept,,3.0,,4.0,,3.0,,,,,,,,,,,,8.0,,,,,3.0,,
ICLR2022,zq1iJkNk3uN,NkaP4s_2Iip,accept,,4.0,,4.0,,2.0,,,,,,,,,,,,6.0,,,,,3.0,,
ICLR2022,ziRLU3Y2PN_,ytBwwamJO4,accept,,5.0,,4.0,,3.0,,,,,,,,,,,,8.0,,,,,3.0,,
ICLR2022,ziRLU3Y2PN_,ScFNCi7rzei,accept,,3.0,,4.0,,3.0,,,,,,,,,,,,8.0,,,,,3.0,,
ICLR2022,ziRLU3Y2PN_,Jp6u6L1toBT,accept,,5.0,,4.0,,3.0,,,,,,,,,,,,8.0,,,,,3.0,,
ICLR2022,ziRLU3Y2PN_,e1_L1peKpQf,accept,,4.0,,3.0,,3.0,,,,,,,,,,,,3.0,,,,,2.0,,
ICLR2022,zhynF6JnC4q,56sR7wcCboW,accept,,4.0,,3.0,,2.0,,,,,,,,,,,,6.0,,,,,3.0,,
