venue,submission_id,review_id,status,clarity,confidence,contribution,correctness,empirical_novelty_and_significance,originality,overall_recommendation,presentation,quality,rating,recommendation,significance,soundness,technical_novelty_and_significance,time_spent_reviewing
ICLR2022,g1SzIRLQXMM,8XgiSituROK,accept,,3.0,,3.0,2.0,,,,,,8.0,,,3.0,
ICLR2022,g1SzIRLQXMM,6QcCfqCHr1p,accept,,4.0,,4.0,4.0,,,,,,8.0,,,3.0,
ICLR2022,g1SzIRLQXMM,VGl7TQOdxrG,accept,,4.0,,3.0,4.0,,,,,,8.0,,,3.0,
ICLR2022,g1SzIRLQXMM,RzRdO_6tQT,accept,,4.0,,4.0,3.0,,,,,,8.0,,,3.0,
ICLR2023,RUzSobdYy0V,EmaqzywPDa,accept,,3.0,,4.0,3.0,,,,,,8.0,,,3.0,
ICLR2023,RUzSobdYy0V,1UlNMuZj0fp,accept,,3.0,,3.0,3.0,,,,,,6.0,,,3.0,
ICLR2023,RUzSobdYy0V,7AWRUUgNqYe,accept,,4.0,,3.0,1.0,,,,,,5.0,,,2.0,
ICLR2024,cXs5md5wAq,3FBIToMxSZ,reject,,4.0,2.0,,,,,2.0,,3.0,,,2.0,,
ICLR2024,cXs5md5wAq,2gTtKikoba,reject,,3.0,2.0,,,,,2.0,,3.0,,,2.0,,
ICLR2024,cXs5md5wAq,vb8QNXNzVn,reject,,3.0,1.0,,,,,2.0,,6.0,,,3.0,,
ICLR2024,cXs5md5wAq,whc0meFjpm,reject,,3.0,3.0,,,,,4.0,,6.0,,,3.0,,
ICLR2025,5sRnsubyAK,G5kRSj5OIS,Withdrawn,,3.0,2.0,,,,,3.0,,5.0,,,2.0,,
ICLR2025,5sRnsubyAK,YCOoL6rrFf,Withdrawn,,4.0,3.0,,,,,2.0,,6.0,,,3.0,,
ICLR2025,5sRnsubyAK,ea1GsIc6Xh,Withdrawn,,5.0,2.0,,,,,3.0,,3.0,,,2.0,,
ICLR2025,5sRnsubyAK,yj2VxWjc8x,Withdrawn,,5.0,1.0,,,,,2.0,,1.0,,,3.0,,
ICLR2026,FPLNSx1jmL,lGp0K7AQpl,reject,,4.0,2.0,,,,,2.0,,2.0,,,2.0,,
ICLR2026,FPLNSx1jmL,DkEeeHjjjJ,reject,,3.0,3.0,,,,,3.0,,4.0,,,3.0,,
ICLR2026,FPLNSx1jmL,uN3m0YeMlc,reject,,3.0,3.0,,,,,2.0,,4.0,,,3.0,,
ICLR2026,FPLNSx1jmL,WSdP0QXNPV,reject,,4.0,2.0,,,,,2.0,,4.0,,,2.0,,
NeurIPS2021,xXYjxli-2i,5wG8tpfha0X,accept,,4.0,,,,,,,,3.0,,,,,5.0
NeurIPS2021,xXYjxli-2i,GFFY3Kz_D_A,accept,,4.0,,,,,,,,6.0,,,,,
NeurIPS2021,xXYjxli-2i,v3odeNuFb0J,accept,,4.0,,,,,,,,7.0,,,,,3.0
NeurIPS2021,xXYjxli-2i,daj-oI1fDhZ,accept,,3.0,,,,,,,,4.0,,,,,25.0
NeurIPS2022,09QFnDWPF8,P7IJ6j6PPdD-,accept,,3.0,,,,,,,,7.0,,,,,
NeurIPS2022,09QFnDWPF8,omqYW6jDEcX,accept,,3.0,,,,,,,,5.0,,,,,
NeurIPS2022,09QFnDWPF8,Y5Mx8KhRya,accept,,3.0,,,,,,,,8.0,,,,,
NeurIPS2024,iEeiZlTbts,VXY6TyzpXc,accept,,5.0,3.0,,,,,3.0,,7.0,,,3.0,,
NeurIPS2024,iEeiZlTbts,YkfoaTMUxf,accept,,4.0,3.0,,,,,3.0,,7.0,,,3.0,,
NeurIPS2024,iEeiZlTbts,CANIiAPRWM,accept,,3.0,3.0,,,,,3.0,,7.0,,,3.0,,
NeurIPS2024,iEeiZlTbts,6zHwN92Ppn,accept,,4.0,3.0,,,,,1.0,,5.0,,,2.0,,
NeurIPS2025,RxWILaXuhb,FIEJ3gV40c,accept,3.0,4.0,,,,2.0,,,3.0,5.0,,2.0,,,
NeurIPS2025,RxWILaXuhb,wLV7tXNba4,accept,3.0,3.0,,,,2.0,,,3.0,4.0,,3.0,,,
NeurIPS2025,RxWILaXuhb,ha2Aw5MfEX,accept,4.0,3.0,,,,3.0,,,3.0,5.0,,3.0,,,
NeurIPS2025,RxWILaXuhb,YPpxmn5ZDd,accept,3.0,3.0,,,,3.0,,,3.0,5.0,,3.0,,,
ICML2025,U8GUmxnzXn,rTpxktLplf,accept,,,,,,,2.0,,,,,,,,
ICML2025,U8GUmxnzXn,jIa6emAswP,accept,,,,,,,3.0,,,,,,,,
ICML2025,U8GUmxnzXn,VR8XH6Fvjt,accept,,,,,,,3.0,,,,,,,,
ICML2025,U8GUmxnzXn,LFLpBnPxgC,accept,,,,,,,3.0,,,,,,,,
